region	year	dead	missing	deadmissing	survivors	lat	lon	route
Mediterranean	2018	1		1		36.744442395389	 -3.167758518494	Western Mediterranean
Mediterranean	2018	1		1	56	35.876619034558	 -3.037087391016	Western Mediterranean
Mediterranean	2018	1		1		36.413971904222	 -3.480957442578	Western Mediterranean
Mediterranean	2018	1		1		36.727135137532	 -3.747944917041	Western Mediterranean
Mediterranean	2018		1	1	54	36.072450542211	 -3.002072231250	Western Mediterranean
Mediterranean	2018	1		1		36.722084353020	 -3.357001443347	Western Mediterranean
Mediterranean	2018	1		1		35.915226361080	 -5.269480794175	Western Mediterranean
Mediterranean	2018	3		3		35.265581018218	 -2.914681639551	Western Mediterranean
Mediterranean	2018	1		1		36.779379943873	 -2.593665135165	Western Mediterranean
Mediterranean	2018	6		6		35.189678817192	 -3.381137862305	Western Mediterranean
Mediterranean	2018	5		5	53	35.613574869223	 -3.107125232813	Western Mediterranean
Mediterranean	2018		6	6	52	35.613805720401	 -3.880978481250	Western Mediterranean
Mediterranean	2018		5	5	30	35.876619034558	 -3.354317615625	Western Mediterranean
Mediterranean	2018		61	61		35.752123340697	 -4.375363246875	Western Mediterranean
Mediterranean	2018	13	39	52		35.173443204721	 -2.208013621094	Western Mediterranean
Mediterranean	2018	1	1	2		35.948636914561	 -3.036400745508	Western Mediterranean
Mediterranean	2018	1	1	2	66	36.689162302075	 -2.213042010742	Western Mediterranean
Mediterranean	2018	1	10	11	3	35.861086013215	 -5.167400566797	Western Mediterranean
Mediterranean	2018	1		1		36.153127985126	 -6.069267257422	Western Mediterranean
Mediterranean	2018	1		1	2	35.839071004483	 -5.940122119141	Western Mediterranean
Mediterranean	2018		10	10	32	35.535640003676	 -4.027877171094	Western Mediterranean
Mediterranean	2018		3	3	10	36.827365026355	 2.019972303906	Western Mediterranean
Mediterranean	2018	1		1		35.881069915197	 -5.815255115625	Western Mediterranean
Mediterranean	2018	5	38	43	4	36.475227818626	 -2.230208148437	Western Mediterranean
Mediterranean	2018	4		4		36.010331867945	 -5.441475625000	Western Mediterranean
Mediterranean	2018	1		1	11	36.008665545045	 -5.398903603516	Western Mediterranean
Mediterranean	2018	4		4	49	35.507204211799	 -2.740343393750	Western Mediterranean
Mediterranean	2018		1	1	41	35.698609483239	 -4.792843715625	Western Mediterranean
Mediterranean	2018	2		2		35.795396210661	 -5.834297622754	Western Mediterranean
Mediterranean	2018	1	1	2	3	35.974321453972	 -5.631915520313	Western Mediterranean
Mediterranean	2018	4	14	18	12	34.522568371876	 -6.495380873535	Western Mediterranean
Mediterranean	2018	1		1		35.274229822551	 -2.984685136279	Western Mediterranean
Mediterranean	2018	17	2	19	19	35.822895058362	 -0.796902517969	Western Mediterranean
Mediterranean	2018	5	12	17	17	35.719565805417	 -3.226601551172	Western Mediterranean
Mediterranean	2018	1		1		35.898592900000	 -5.373166000000	Western Mediterranean
Mediterranean	2018	1		1		35.898558136159	 -5.374453460327	Western Mediterranean
Mediterranean	2018	6	30	36	10	35.565324311662	 -6.015228714063	Western Mediterranean
Mediterranean	2018	1		1		36.007378006886	 -5.595094154956	Western Mediterranean
Mediterranean	2018	1		1		35.635369791472	 -1.325146605078	Western Mediterranean
Mediterranean	2018	7	4	11	1	35.977554386570	 -5.768318886719	Western Mediterranean
Mediterranean	2018	1		1		35.307342028997	 -3.957839329297	Western Mediterranean
Mediterranean	2018	1		1		35.724826606545	 -1.134878620654	Western Mediterranean
Mediterranean	2018	1		1		35.400122962293	 -1.258784939648	Western Mediterranean
Mediterranean	2018		7	7		35.961994206451	 -5.382424111328	Western Mediterranean
Mediterranean	2018	1		1		36.619003063120	 -6.364435634424	Western Mediterranean
Mediterranean	2018	12		12	22	35.519970536120	 -2.645016567187	Western Mediterranean
Mediterranean	2018	1		1		36.626580524694	 -6.383661708643	Western Mediterranean
Mediterranean	2018	3		3	2	35.915401186367	 -5.380983631274	Western Mediterranean
Mediterranean	2018	1		1		35.612071497907	 -1.170012647266	Western Mediterranean
Mediterranean	2018	1		1		36.008245901966	 -5.603763054492	Western Mediterranean
Mediterranean	2018	1		1		36.150995800000	 -5.337883400000	Western Mediterranean
Mediterranean	2018	2		2		35.406879065613	 -1.395759438281	Western Mediterranean
Mediterranean	2018	2		2		35.595813364862	 -1.186008961035	Western Mediterranean
Mediterranean	2018	1		1		36.654403900040	 0.924694723437	Western Mediterranean
Mediterranean	2018	1		1		35.646074121757	 -1.075810897416	Western Mediterranean
Mediterranean	2018	1		1		35.579829252717	 -1.163521320654	Western Mediterranean
Mediterranean	2018	2		2		35.717462497699	 -0.893899331738	Western Mediterranean
Mediterranean	2018	2		2		35.494728544351	 -1.244925426954	Western Mediterranean
Mediterranean	2018	1		1		35.971216093787	 0.070161184473	Western Mediterranean
Mediterranean	2018	1		1		35.949766199352	 -5.309639687500	Western Mediterranean
Mediterranean	2018	1		1		36.480420966708	 -4.740933306885	Western Mediterranean
Mediterranean	2018		5	5	29	35.585153669322	 -2.957796002344	Western Mediterranean
Mediterranean	2018	1		1		36.424291687372	 0.620750723437	Western Mediterranean
Mediterranean	2018	1		1		36.729843473764	 2.792090733594	Western Mediterranean
Mediterranean	2018	3		3	32	35.746320190537	 -3.214241932031	Western Mediterranean
Mediterranean	2018	1		1		36.185775189622	 0.259513731250	Western Mediterranean
Mediterranean	2018	21	26	47	1	35.583186593035	 -2.795275034375	Western Mediterranean
Mediterranean	2018	2		2		36.280790301064	 0.094711585937	Western Mediterranean
Mediterranean	2018	3		3	57	35.359236275280	 -2.644685650781	Western Mediterranean
Mediterranean	2018		1	1		35.805774336301	 -0.803585382031	Western Mediterranean
Mediterranean	2018	2		2	34	35.940576396122	 -3.121201465723	Western Mediterranean
Mediterranean	2018	2		2	17	35.852954014280	 -0.814755301172	Western Mediterranean
Mediterranean	2018	1		1		36.058654404974	 0.061860512109	Western Mediterranean
Mediterranean	2018	1		1		36.801272200000	 3.568616200000	Western Mediterranean
Mediterranean	2018	3	8	11	43	35.891005756583	 -5.659332275391	Western Mediterranean
Mediterranean	2018	4		4	4	35.880538323659	 -5.519505224414	Western Mediterranean
Mediterranean	2018	1		1		36.784676783801	 -6.580935208594	Western Mediterranean
Mediterranean	2017	1		1		35.878049717478	 -5.327972173691	Western Mediterranean
Mediterranean	2017		3	3	20	35.882833113479	 -5.803099736328	Western Mediterranean
Mediterranean	2017	1		1	4	36.125095674655	 -5.169511656055	Western Mediterranean
Mediterranean	2017	1		1	68	35.938908600000	 -3.180596302148	Western Mediterranean
Mediterranean	2017		2	2	31	36.214401400000	 -3.419552700000	Western Mediterranean
Mediterranean	2017	3		3	40	35.317984016666	 -6.323177650000	Western Mediterranean
Mediterranean	2017	1		1	35	36.684664094550	 -3.862161322656	Western Mediterranean
Mediterranean	2017	1		1		36.159616714092	 0.134644935938	Western Mediterranean
Mediterranean	2017		3	3	18	35.876390459221	 -5.811981643750	Western Mediterranean
Mediterranean	2017		28	28	6	35.928564408919	 -5.893536298438	Western Mediterranean
Mediterranean	2017	3	1	4	2	35.970153678605	 -5.603076408984	Western Mediterranean
Mediterranean	2017	1		1		36.082470985786	 -6.026000976563	Western Mediterranean
Mediterranean	2017	1		1		35.290387494344	 -2.926591903613	Western Mediterranean
Mediterranean	2017	1		1		35.988768038194	 -5.611316155078	Western Mediterranean
Mediterranean	2017	1		1		36.178832465467	 -5.909786224365	Western Mediterranean
Mediterranean	2017	6		6		35.850559281577	 -5.679503544922	Western Mediterranean
Mediterranean	2017	1		1		36.198825876138	 0.218307777344	Western Mediterranean
Mediterranean	2017	1		1		36.059764585990	 0.090699623438	Western Mediterranean
Mediterranean	2017	1		1		36.055323767952	 0.076966713281	Western Mediterranean
Mediterranean	2017	3	1	4		35.904917419285	 -5.291584069312	Western Mediterranean
Mediterranean	2017	1		1		36.101939856583	 0.057740639063	Western Mediterranean
Mediterranean	2017	2		2		35.777154148825	 -5.789837326123	Western Mediterranean
Mediterranean	2017	1		1	10	35.875277696775	 -5.696625198438	Western Mediterranean
Mediterranean	2017	1		1		35.778176000000	 -5.827966600000	Western Mediterranean
Mediterranean	2017	2		2	12	36.076415421565	 0.045381019922	Western Mediterranean
Mediterranean	2017	2	3	5	48	35.839661046921	 -5.787262405469	Western Mediterranean
Mediterranean	2017	1		1		35.291156590870	 -2.927625956006	Western Mediterranean
Mediterranean	2017	1		1	17	35.286041628488	 -2.901978697656	Western Mediterranean
Mediterranean	2017	2		2	4	35.268594995463	 -2.937238993115	Western Mediterranean
Mediterranean	2017	1	6	7	3	36.040798831235	 -2.618895484766	Western Mediterranean
Mediterranean	2017		3	3	4	35.960882647666	 -5.386543984375	Western Mediterranean
Mediterranean	2017	7		7	13	35.272098761012	 -2.887285532422	Western Mediterranean
Mediterranean	2017	1		1	11	35.917556056940	 -5.373688022754	Western Mediterranean
Mediterranean	2017	1		1		35.981822895107	 -5.617152641895	Western Mediterranean
Mediterranean	2017	1		1		37.136264912559	 -1.824022242578	Western Mediterranean
Mediterranean	2017	1		1		36.567000959142	 -4.585614805469	Western Mediterranean
Mediterranean	2017	1		1		36.632456427923	 -4.450250544922	Western Mediterranean
Mediterranean	2017	3		3	48	35.287304600000	 -3.870843300000	Western Mediterranean
Mediterranean	2017		49	49	3	35.939433300000	 -3.038769000000	Western Mediterranean
Mediterranean	2017	1		1		35.825513600000	 -5.724505600000	Western Mediterranean
Mediterranean	2017	5		5		37.574842100000	 -1.021354200000	Western Mediterranean
Mediterranean	2017	2		2		35.314206700000	 -2.944928000000	Western Mediterranean
Mediterranean	2017	1		1		36.746391700000	 -2.171041200000	Western Mediterranean
Mediterranean	2017	1		1		36.953579900000	 -1.902940500000	Western Mediterranean
Mediterranean	2017		1	1	24	35.314206700000	 -2.947116700000	Western Mediterranean
Mediterranean	2017		1	1	6	35.846343790000	 -5.776402957000	Western Mediterranean
Mediterranean	2017	1		1		35.913489558500	 -5.380811969897	Western Mediterranean
Mediterranean	2017		5	5	6	36.025882516454	 -5.328865761719	Western Mediterranean
Mediterranean	2017	3		3	32	35.939594400000	 -3.036476200000	Western Mediterranean
Mediterranean	2017	3	1	4	3	36.248835565283	 -6.346569366992	Western Mediterranean
Mediterranean	2017	1		1		36.418759500000	 -6.242722000000	Western Mediterranean
Mediterranean	2017	1		1		36.051743056922	 -5.803197855078	Western Mediterranean
Mediterranean	2017	1		1		36.075576792542	 -5.413881649121	Western Mediterranean
Mediterranean	2017	1		1		36.486584900000	 -6.303310700000	Western Mediterranean
Mediterranean	2017	1		1		35.893784113931	 -5.310254017664	Western Mediterranean
Mediterranean	2017		9	9	2	35.854571821186	 -5.797675591797	Western Mediterranean
Mediterranean	2017		2	2	3	35.974691964994	 -5.615392255078	Western Mediterranean
Mediterranean	2017		3	3	11	36.746431600000	 -2.172064600000	Western Mediterranean
Mediterranean	2017	1		1	2	35.176142300000	 -2.924073300000	Western Mediterranean
Mediterranean	2017		3	3		35.176142300000	 -2.924073300000	Western Mediterranean
Mediterranean	2017	8	7	15	4	35.999138366460	 -5.610585736524	Western Mediterranean
Mediterranean	2017	1		1	7	35.927882159511	 -5.294504086328	Western Mediterranean
Mediterranean	2017	3		3	45	35.176142300000	 -2.924073300000	Western Mediterranean
Mediterranean	2017	2		2		35.908666342858	 -5.378892755481	Western Mediterranean
Mediterranean	2016	7		7	38	35.252860800000	 -3.957889200000	Western Mediterranean
Mediterranean	2016	1		1		35.891802400000	 -5.333986200000	Western Mediterranean
Mediterranean	2016	1	3	4		35.895384600000	 -5.334817200000	Western Mediterranean
Mediterranean	2016	1		1		36.745269700000	 -3.281736600000	Western Mediterranean
Mediterranean	2016		7	7		35.932805800000	 -5.646866100000	Western Mediterranean
Mediterranean	2016		1	1	1	36.527403700000	 -6.334261800000	Western Mediterranean
Mediterranean	2016	1		1		36.725051000000	 -3.737953800000	Western Mediterranean
Mediterranean	2016		9	9		35.895384600000	 -5.334817200000	Western Mediterranean
Mediterranean	2016	3	7	10	4	35.845001500000	 -5.353364800000	Western Mediterranean
Mediterranean	2016	1		1		35.879984700000	 -5.368993200000	Western Mediterranean
Mediterranean	2016	1		1	3	35.164741700000	 -2.953516600000	Western Mediterranean
Mediterranean	2016		45	45		35.444132400000	 -4.070813700000	Western Mediterranean
Mediterranean	2016	1		1		35.895384600000	 -5.334817200000	Western Mediterranean
Mediterranean	2016	1		1		36.737271500000	 -4.100630400000	Western Mediterranean
Mediterranean	2016	1		1		35.286270300000	 -2.950878100000	Western Mediterranean
Mediterranean	2016		3	3	1	36.727190900000	 -2.165284500000	Western Mediterranean
Mediterranean	2016		6	6		36.748932200000	 -3.527553200000	Western Mediterranean
Mediterranean	2016	1		1		35.286270300000	 -2.950878100000	Western Mediterranean
Mediterranean	2016		20	20		36.841526800000	 -2.474626200000	Western Mediterranean
Mediterranean	2016	1		1		35.944418700000	 -5.794608800000	Western Mediterranean
Mediterranean	2016	1		1		36.003431800000	 -5.617350900000	Western Mediterranean
Mediterranean	2016	1		1		35.285061300000	 -2.933977000000	Western Mediterranean
Mediterranean	2016	3		3		37.002953500000	 -1.427928600000	Western Mediterranean
Mediterranean	2016	1		1		35.944171900000	 -5.696373200000	Western Mediterranean
Mediterranean	2015	2		2	185	35.916530000000	 -5.372926000000	Western Mediterranean
Mediterranean	2015	1		1		36.594168000000	 -3.532006000000	Western Mediterranean
Mediterranean	2015	4		4		35.991336000000	 -5.916205000000	Western Mediterranean
Mediterranean	2015	7	32	39	15	35.244558900000	 -3.931746800000	Western Mediterranean
Mediterranean	2015	1		1		35.895384600000	 -5.334817200000	Western Mediterranean
Mediterranean	2015	1	1	2		35.889400000000	 -5.321350000000	Western Mediterranean
Mediterranean	2015	1	1	2		35.296428600000	 -2.942810000000	Western Mediterranean
Mediterranean	2015	2		2		36.438961955042	 -6.429884062500	Western Mediterranean
Mediterranean	2015	1		1		35.291415600000	 -2.992538500000	Western Mediterranean
Mediterranean	2015	1	1	2		36.034211958709	 -5.392037148438	Western Mediterranean
Mediterranean	2015	1		1	12	35.888951500000	 -5.353555600000	Western Mediterranean
Mediterranean	2015	2		2		36.632829000000	 -3.532317000000	Western Mediterranean
Mediterranean	2015	1		1		36.834047000000	 -2.463713600000	Western Mediterranean
Mediterranean	2015	4		4		35.927200000000	 -5.325470000000	Western Mediterranean
Mediterranean	2015		22	22		35.352515000000	 -3.976368000000	Western Mediterranean
Mediterranean	2015	1		1		35.880463000000	 -5.320930000000	Western Mediterranean
Mediterranean	2015	8	2	10	10	35.286196000000	 -2.958992800000	Western Mediterranean
Mediterranean	2015	5		5	16	35.908983000000	 -1.592287000000	Western Mediterranean
Mediterranean	2014		23	23	28	36.399200000000	 -2.384030000000	Western Mediterranean
Mediterranean	2014	9		9	21	35.846800000000	 -5.803530000000	Western Mediterranean
Mediterranean	2014	2	6	8	0	35.985800000000	 -5.396350000000	Western Mediterranean
Mediterranean	2014	4	0	4	0	35.278300000000	 -2.962190000000	Western Mediterranean
Mediterranean	2014	15	0	15	0	35.879300000000	 -5.364070000000	Western Mediterranean
